Index,URL,CENA,POPLATKY ZA SLUŽBY,POPLATKY ZA ENERGII,VRATNÁ KAUCE,TYP NABÍDKY,LOKACE,ČÍSLO INZERÁTU,DISPOZICE,STAV,DOSTUPNÉ OD,VLASTNICTVÍ,TYP BUDOVY,PLOCHA,VYBAVENO,PODLAŽÍ,PENB,Internet,Energie,Balkón,Terasa,Sklep,Lodžie,Bezbariérový přístup,Parkování,Výtah,Garáž,MHD,Pošta,Obchod,Banka,Restaurace,Lékárna,Škola,Mateřská škola,Sportoviště,Hřiště
1,https://www.bezrealitky.cz/nemovitosti-byty-domy/756359-nabidka-prodej-bytu-borivojova,9 892 000 Kč,NaN,NaN,NaN,PRODEJ,"Bořivojova, Praha - Žižkov",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,322 m,375 m,128 m,401 m,90 m,139 m,390 m,486 m,534 m,581 m
2,https://www.bezrealitky.cz/nemovitosti-byty-domy/756206-nabidka-prodej-bytu-biskupcova,4 499 000 Kč,NaN,NaN,NaN,PRODEJ,"Biskupcova,",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,156 m,816 m,38 m,163 m,34 m,137 m,407 m,361 m,521 m,456 m
3,https://www.bezrealitky.cz/nemovitosti-byty-domy/755645-nabidka-prodej-bytu-bolonska,6 290 000 Kč,NaN,NaN,NaN,PRODEJ,"Boloňská, Praha - Horní Měcholupy",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,287 m,844 m,429 m,1 032 m,160 m,1 676 m,299 m,167 m,678 m,89 m
4,https://www.bezrealitky.cz/nemovitosti-byty-domy/753262-nabidka-prodej-bytu-sidliste-za-chlumem,750 000 Kč,NaN,NaN,NaN,PRODEJ,"Sídliště Za Chlumem, Bílina, Ústecký kraj",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270 m,342 m,304 m,2 004 m,989 m,424 m,241 m,563 m,385 m,123 m
5,https://www.bezrealitky.cz/nemovitosti-byty-domy/752607-nabidka-prodej-bytu-uherska,5 950 000 Kč,NaN,NaN,NaN,PRODEJ,"Uherská, Praha - Vinoř",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,174 m,185 m,764 m,8 110 m,345 m,746 m,643 m,529 m,343 m,71 m
6,https://www.bezrealitky.cz/nemovitosti-byty-domy/741816-nabidka-prodej-bytu-borivojova,6 896 000 Kč,NaN,NaN,NaN,PRODEJ,"Bořivojova, Praha - Žižkov",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,327 m,167 m,197 m,403 m,46 m,346 m,160 m,409 m,681 m,187 m
7,https://www.bezrealitky.cz/nemovitosti-byty-domy/741781-nabidka-prodej-bytu-kmochova,5 450 000 Kč,NaN,NaN,NaN,PRODEJ,"Kmochova, Praha - Smíchov",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203 m,800 m,133 m,504 m,106 m,585 m,246 m,577 m,2 696 m,314 m
8,https://www.bezrealitky.cz/nemovitosti-byty-domy/765939-nabidka-prodej-bytu-josefa-hory-beroun,4 100 000 Kč,NaN,NaN,NaN,PRODEJ,"Josefa Hory, Beroun, Středočeský kraj",765939,2+1,Velmi dobrý,1. 6. 2023,Osobní,Cihla,56 m²,Vybaveno,3,C,1.0,1.0,1.0,NaN,1.0,NaN,NaN,1.0,NaN,NaN,216 m,560 m,297 m,1 250 m,854 m,561 m,245 m,505 m,830 m,691 m
9,https://www.bezrealitky.cz/nemovitosti-byty-domy/776341-nabidka-prodej-bytu-hornicka,2 299 000 Kč,NaN,NaN,NaN,PRODEJ,"Hornická, Jirkov, Ústecký kraj",776341,3+1,Velmi dobrý,NaN,Osobní,Panel,76 m²,Nevybaveno,2,NaN,1.0,1.0,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,156 m,461 m,383 m,789 m,787 m,583 m,887 m,593 m,2 250 m,947 m
10,https://www.bezrealitky.cz/nemovitosti-byty-domy/774256-nabidka-prodej-bytu-vyskovicka-ostrava,1 320 000 Kč,NaN,NaN,NaN,PRODEJ,"Výškovická, Ostrava - Zábřeh nad Odrou, Moravskoslezský kraj",774256,1+1,Dobrý,29. 3. 2023,Družstevní,Panel,37 m²,Částečně,5,G,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,126 m,602 m,462 m,708 m,422 m,450 m,405 m,550 m,1 706 m,409 m
