Index,URL,CENA,POPLATKY ZA SLUŽBY,POPLATKY ZA ENERGII,VRATNÁ KAUCE,TYP NABÍDKY,LOKACE,ČÍSLO INZERÁTU,DISPOZICE,STAV,DOSTUPNÉ OD,VLASTNICTVÍ,TYP BUDOVY,PLOCHA,VYBAVENO,PODLAŽÍ,PENB,Internet,Energie,Balkón,Terasa,Sklep,Lodžie,Bezbariérový přístup,Parkování,Výtah,Garáž,MHD,Pošta,Obchod,Banka,Restaurace,Lékárna,Škola,Mateřská škola,Sportoviště,Hřiště
1,https://www.bezrealitky.cz/nemovitosti-byty-domy/761230-nabidka-prodej-bytu-svazarmovska-roznov-pod-radhostem,2 620 000 Kč,NaN,NaN,NaN,PRODEJ,"Svazarmovská, Rožnov pod Radhoštěm, Zlínský kraj",761230,2+1,Dobrý,NaN,Osobní,Panel,56 m²,Částečně,4,NaN,1.0,1.0,NaN,NaN,NaN,1.0,NaN,NaN,NaN,NaN,181 m,632 m,308 m,974 m,187 m,1 820 m,226 m,578 m,197 m,147 m
2,https://www.bezrealitky.cz/nemovitosti-byty-domy/761149-nabidka-prodej-bytu-nam-republiky-lazne-kynzvart,2 350 000 Kč,NaN,NaN,NaN,PRODEJ,"nám. Republiky, Lázně Kynžvart, Karlovarský kraj",761149,3+1,Dobrý,NaN,Osobní,Cihla,83 m²,Částečně,NaN,NaN,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,https://www.bezrealitky.cz/nemovitosti-byty-domy/761148-nabidka-prodej-bytu-dymokury,2 509 500 Kč,NaN,NaN,NaN,PRODEJ,"Dymokury, Středočeský kraj",761148,3+1,Velmi dobrý,NaN,Osobní,Cihla,69 m²,Částečně,2,NaN,1.0,1.0,1.0,NaN,1.0,NaN,NaN,1.0,NaN,NaN,266 m,61 m,60 m,NaN,8 090 m,5 913 m,6 660 m,6 674 m,7 346 m,11 090 m
4,https://www.bezrealitky.cz/nemovitosti-byty-domy/761147-nabidka-prodej-bytu-v-hajku-dymokury,2 509 500 Kč,NaN,NaN,NaN,PRODEJ,"V Hájku, Dymokury, Středočeský kraj",761147,3+1,Velmi dobrý,NaN,Osobní,Cihla,69 m²,Částečně,3,NaN,1.0,1.0,NaN,NaN,1.0,NaN,NaN,1.0,NaN,NaN,290 m,569 m,487 m,NaN,8 045 m,6 421 m,6 615 m,6 811 m,7 854 m,7 692 m
5,https://www.bezrealitky.cz/nemovitosti-byty-domy/761145-nabidka-prodej-bytu-keplerova-usti-nad-labem,2 149 000 Kč,NaN,NaN,NaN,PRODEJ,"Keplerova, Ústí nad Labem - Krásné Březno, Ústecký kraj",761145,4+1,Dobrý,NaN,Osobní,Panel,81 m²,Částečně,6,NaN,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,114 m,555 m,463 m,3 313 m,310 m,427 m,709 m,4 246 m,3 405 m,290 m
6,https://www.bezrealitky.cz/nemovitosti-byty-domy/761124-nabidka-prodej-bytu-veletrzni-praha,12 240 000 Kč,NaN,NaN,NaN,PRODEJ,"Veletržní, Praha - Holešovice",761124,3+1,Dobrý,NaN,Osobní,Cihla,104 m²,Částečně,2,NaN,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,188 m,234 m,142 m,186 m,119 m,186 m,376 m,648 m,190 m,409 m
7,https://www.bezrealitky.cz/nemovitosti-byty-domy/761104-nabidka-prodej-bytu-tarnavova-ostrava,1 500 000 Kč,NaN,NaN,NaN,PRODEJ,"Tarnavova, Ostrava - Zábřeh nad Odrou, Moravskoslezský kraj",761104,2+1,Špatný,NaN,Osobní,Panel,44 m²,Částečně,4,NaN,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,160 m,543 m,804 m,3 079 m,412 m,1 156 m,446 m,474 m,3 129 m,418 m
8,https://www.bezrealitky.cz/nemovitosti-byty-domy/761103-nabidka-prodej-bytu-karla-capka-krupka,450 000 Kč,NaN,NaN,NaN,PRODEJ,"Karla Čapka, Krupka - Maršov u Krupky, Ústecký kraj",761103,1+1,Dobrý,NaN,Družstevní,Panel,35 m²,Částečně,3,NaN,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,340 m,323 m,395 m,880 m,385 m,485 m,298 m,91 m,354 m,1 790 m
9,https://www.bezrealitky.cz/nemovitosti-byty-domy/761085-nabidka-prodej-bytu-mikolase-alse-kolin,3 600 000 Kč,NaN,NaN,NaN,PRODEJ,"Mikoláše Alše, Kolín, Středočeský kraj",761085,2+1,Dobrý,NaN,Osobní,Cihla,54 m²,Částečně,3,NaN,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,1.0,109 m,885 m,115 m,489 m,568 m,406 m,669 m,190 m,2 203 m,123 m
10,https://www.bezrealitky.cz/nemovitosti-byty-domy/761076-nabidka-prodej-bytu-pod-rapidem-praha,10 600 000 Kč,NaN,NaN,NaN,PRODEJ,"Pod Rapidem, Praha - Strašnice",761076,3+1,Velmi dobrý,NaN,Osobní,Cihla,110 m²,Vybaveno,3,NaN,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65 m,704 m,219 m,589 m,90 m,112 m,580 m,523 m,565 m,236 m
