Index,URL,CENA,POPLATKY ZA SLUŽBY,POPLATKY ZA ENERGIE,VRATNÁ KAUCE,TYP NABÍDKY,LOKACE,ČÍSLO INZERÁTU,DISPOZICE,STAV,DOSTUPNÉ OD,VLASTNICTVÍ,TYP BUDOVY,PLOCHA,VYBAVENO,PODLAŽÍ,PENB,Internet,Energie,Balkón,Terasa,Sklep,Lodžie,Bezbariérový přístup,Parkování,Výtah,Garáž,MHD,Pošta,Obchod,Banka,Restaurace,Lékárna,Škola,Mateřská škola,Sportoviště,Hřiště
1,https://www.bezrealitky.cz/nemovitosti-byty-domy/775371-nabidka-pronajem-bytu-sokolska-trida,8 700 Kč,NaN,NaN,17 400 Kč,PRONÁJEM,"Sokolská třída, Moravská Ostrava, Moravskoslezský kraj",775371,2+1,Dobrý,NaN,Osobní,Panel,64 m²,NaN,3,D,1.0,1.0,1.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,240 m,431 m,336 m,423 m,237 m,623 m,704 m,709 m,452 m,403 m
2,https://www.bezrealitky.cz/nemovitosti-byty-domy/775128-nabidka-pronajem-bytu-u-nadrazi,6 350 Kč,NaN,NaN,12 700 Kč,PRONÁJEM,"U Nádraží, Havířov - Šumbark, Moravskoslezský kraj",775128,2+kk,Dobrý,NaN,Osobní,Cihla,36 m²,NaN,1,E,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,379 m,659 m,405 m,1 761 m,1 026 m,662 m,561 m,1 474 m,756 m,648 m
3,https://www.bezrealitky.cz/nemovitosti-byty-domy/774731-nabidka-pronajem-bytu-tr-osvobozeni,6 500 Kč,NaN,NaN,13 000 Kč,PRONÁJEM,"tř. Osvobození, Karviná-město, Moravskoslezský kraj",774731,2+1,Dobrý,NaN,Osobní,Cihla,55 m²,NaN,4,D,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,503 m,410 m,297 m,302 m,346 m,1 894 m,411 m,2 113 m,659 m,809 m
4,https://www.bezrealitky.cz/nemovitosti-byty-domy/774719-nabidka-pronajem-bytu-dr-glazera,4 650 Kč,NaN,NaN,9 300 Kč,PRONÁJEM,"Dr. Glazera, Horní Suchá, Moravskoslezský kraj",774719,1+kk,Dobrý,NaN,Osobní,Panel,29 m²,NaN,4,D,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,224 m,597 m,665 m,5 037 m,537 m,4 574 m,499 m,579 m,465 m,385 m
5,https://www.bezrealitky.cz/nemovitosti-byty-domy/774674-nabidka-pronajem-bytu-mateje-kopeckeho,8 950 Kč,NaN,NaN,17 900 Kč,PRONÁJEM,"Matěje Kopeckého, Ostrava - Poruba, Moravskoslezský kraj",774674,1+1,Velmi dobrý,NaN,Osobní,Cihla,39 m²,NaN,1,D,1.0,1.0,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,318 m,571 m,348 m,346 m,424 m,468 m,288 m,491 m,1 674 m,482 m
6,https://www.bezrealitky.cz/nemovitosti-byty-domy/774671-nabidka-pronajem-bytu-janskeho,6 400 Kč,NaN,NaN,12 800 Kč,PRONÁJEM,"Janského, Karviná-město, Moravskoslezský kraj",774671,2+1,Dobrý,NaN,Osobní,Cihla,50 m²,NaN,4,D,1.0,1.0,NaN,NaN,1.0,NaN,NaN,1.0,NaN,NaN,909 m,359 m,679 m,684 m,725 m,2 027 m,608 m,2 185 m,1 403 m,1 265 m
7,https://www.bezrealitky.cz/nemovitosti-byty-domy/774600-nabidka-pronajem-bytu-zavodni,7 300 Kč,NaN,NaN,14 600 Kč,PRONÁJEM,"Závodní, Karviná-město, Moravskoslezský kraj",774600,3+kk,Velmi dobrý,NaN,Osobní,Cihla,74 m²,NaN,3,E,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,1 234 m,261 m,1 429 m,1 429 m,1 275 m,1 800 m,267 m,2 295 m,506 m,1 463 m
8,https://www.bezrealitky.cz/nemovitosti-byty-domy/774469-nabidka-pronajem-bytu-dukelska,7 900 Kč,NaN,NaN,15 800 Kč,PRONÁJEM,"Dukelská, Havířov - Šumbark, Moravskoslezský kraj",774469,3+1,Dobrý,NaN,Osobní,Cihla,71 m²,NaN,3,D,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,298 m,528 m,487 m,1 134 m,724 m,531 m,460 m,1 501 m,735 m,684 m
9,https://www.bezrealitky.cz/nemovitosti-byty-domy/773687-nabidka-pronajem-bytu-u-stromovky,8 650 Kč,NaN,NaN,17 300 Kč,PRONÁJEM,"U Stromovky, Havířov-město, Moravskoslezský kraj",773687,2+1,Dobrý,NaN,Osobní,Cihla,54 m²,NaN,1,E,1.0,1.0,NaN,NaN,1.0,NaN,NaN,1.0,NaN,NaN,165 m,424 m,282 m,786 m,211 m,1 841 m,392 m,217 m,1 716 m,460 m
10,https://www.bezrealitky.cz/nemovitosti-byty-domy/773679-nabidka-pronajem-bytu-erbenova,10 000 Kč,NaN,NaN,20 000 Kč,PRONÁJEM,"Erbenova, Havířov-město, Moravskoslezský kraj",773679,3+1,Dobrý,NaN,Osobní,Panel,69 m²,NaN,5,E,1.0,1.0,1.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,285 m,663 m,293 m,299 m,241 m,330 m,812 m,1 391 m,981 m,520 m
