Index,URL,CENA,POPLATKY ZA SLUŽBY,POPLATKY ZA ENERGIE,VRATNÁ KAUCE,TYP NABÍDKY,LOKACE,ČÍSLO INZERÁTU,DISPOZICE,STAV,DOSTUPNÉ OD,VLASTNICTVÍ,TYP BUDOVY,PLOCHA,VYBAVENO,PODLAŽÍ,PENB,Internet,Energie,Balkón,Terasa,Sklep,Lodžie,Bezbariérový přístup,Parkování,Výtah,Garáž,MHD,Pošta,Obchod,Banka,Restaurace,Lékárna,Škola,Mateřská škola,Sportoviště,Hřiště
1,https://www.bezrealitky.cz/nemovitosti-byty-domy/772920-nabidka-pronajem-bytu-17-listopadu-melnik,11 500 Kč,NaN,4 500 Kč,23 000 Kč,PRONÁJEM,"17. listopadu, Mělník, Středočeský kraj",772920,2+kk,Velmi dobrý,26. 3. 2023,NaN,Cihla,40 m²,Nevybaveno,2,G,1.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,236 m,393 m,516 m,205 m,205 m,234 m,450 m,3 546 m,972 m,494 m
2,https://www.bezrealitky.cz/nemovitosti-byty-domy/776354-nabidka-pronajem-bytu-za-zelenou-liskou-hlavni-mesto-praha,15 000 Kč,1 500 Kč,1 500 Kč,20 000 Kč,PRONÁJEM,"Za Zelenou Liškou, Praha - Krč",776354,2+kk,Velmi dobrý,10. 4. 2023,NaN,Cihla,55 m²,Částečně,2,C,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,232 m,388 m,61 m,180 m,112 m,137 m,358 m,633 m,776 m,158 m
3,https://www.bezrealitky.cz/nemovitosti-byty-domy/772853-nabidka-pronajem-bytu-benkova-praha,20 000 Kč,3 134 Kč,1 000 Kč,40 000 Kč,PRONÁJEM,"Benkova, Praha - Chodov",772853,2+kk,Novostavba,3. 4. 2023,NaN,Cihla,60 m²,Vybaveno,3,G,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,156 m,59 m,248 m,1 633 m,162 m,356 m,237 m,289 m,490 m,211 m
4,https://www.bezrealitky.cz/nemovitosti-byty-domy/730609-nabidka-pronajem-bytu-taborska,21 000 Kč,6 000 Kč,NaN,50 000 Kč,PRONÁJEM,"Táborská, Praha - Nusle",730609,3+kk,Velmi dobrý,11. 4. 2023,NaN,Cihla,63 m²,Částečně,2,G,1.0,1.0,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,261 m,1 200 m,282 m,426 m,218 m,430 m,471 m,561 m,312 m,404 m
5,https://www.bezrealitky.cz/nemovitosti-byty-domy/561599-nabidka-pronajem-bytu-lobezska-plzen,12 500 Kč,NaN,3 500 Kč,20 000 Kč,PRONÁJEM,"Lobezská, Plzeň, Plzeňský kraj",561599,2+kk,NaN,17. 4. 2023,Osobní,Cihla,65 m²,Částečně,2,C,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27 m,978 m,199 m,585 m,429 m,595 m,535 m,510 m,567 m,467 m
6,https://www.bezrealitky.cz/nemovitosti-byty-domy/776352-nabidka-pronajem-bytu-namesti-miru-mlada-boleslav,14 000 Kč,100 Kč,4 000 Kč,28 000 Kč,PRONÁJEM,"náměstí Míru, Mladá Boleslav, Středočeský kraj",776352,2+1,Velmi dobrý,10. 4. 2023,NaN,Panel,55 m²,Částečně,3,E,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113 m,314 m,2 m,124 m,250 m,22 m,237 m,709 m,514 m,198 m
7,https://www.bezrealitky.cz/nemovitosti-byty-domy/488771-nabidka-pronajem-bytu-namesti-smirickych-kostelec-nad-cernymi-lesy,13 000 Kč,500 Kč,NaN,20 000 Kč,PRONÁJEM,"náměstí Smiřických, Kostelec nad Černými lesy, Středočeský kraj",488771,3+kk,NaN,8. 4. 2023,Osobní,Cihla,65 m²,Částečně,1,G,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71 m,290 m,1 007 m,NaN,160 m,8 788 m,588 m,8 966 m,1 482 m,6 296 m
8,https://www.bezrealitky.cz/nemovitosti-byty-domy/544003-nabidka-pronajem-bytu-kramperova,17 499 Kč,2 000 Kč,NaN,35 000 Kč,PRONÁJEM,"Kramperova, Praha - Kamýk",544003,1+kk,Novostavba,1. 4. 2023,Osobní,Cihla,33 m²,Nevybaveno,1,B,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,220 m,798 m,299 m,3 191 m,669 m,1 620 m,424 m,2 069 m,823 m,319 m
9,https://www.bezrealitky.cz/nemovitosti-byty-domy/776345-nabidka-pronajem-bytu-na-krizovatkach-ruzinov,630 €,1 €,169 €,800 €,PRONÁJEM,"Na križovatkách, Ružinov - Trnávka, Bratislavský kraj",776345,Dvoupokojový,Novostavba,15. 5. 2023,NaN,Cihla,51 m²,Vybaveno,6,A,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,1.0,NaN,109 m,939 m,192 m,822 m,165 m,177 m,192 m,595 m,529 m,56 m
10,https://www.bezrealitky.cz/nemovitosti-byty-domy/776344-nabidka-pronajem-bytu-na-stare-vinici-hlavni-mesto-praha,14 000 Kč,4 000 Kč,NaN,14 000 Kč,PRONÁJEM,"Na Staré vinici, Praha - Krč",776344,1+kk,Velmi dobrý,10. 4. 2023,NaN,Cihla,36 m²,Vybaveno,1,D,1.0,1.0,NaN,1.0,NaN,NaN,1.0,NaN,NaN,NaN,303 m,801 m,265 m,373 m,90 m,654 m,2 107 m,573 m,2 206 m,410 m
